To
Andor Laser Combiner System LC-501A - Back - Power
Andor Laser Combiner System LC-501A - Front - AOTF Control - RF In
Andor Laser Combiner System LC-501A - Front - AOTF Control - Therm
Andor Laser Combiner System LC-501A - Front - Fiber
Andor Laser Combiner System LC-501A - Front - USB-B
Andor Precision Control Unit ER-PCUB-110 - Back - AUX
Andor Precision Control Unit ER-PCUB-110 - Back - Multi-pin parallel
Andor Precision Control Unit ER-PCUB-110 - Back - Power
Andor Precision Control Unit ER-PCUB-110 - Front - Analog A5 Piezo
Andor Precision Control Unit ER-PCUB-110 - Front - AOTF control - RF Out
Andor Precision Control Unit ER-PCUB-110 - Front - AOTF control - Therm
ASI MS-2000 Stage Controller - Power - multipin
ASI MS-2000 Stage Controller - PZ EXT IN
ASI MS-2000 Stage Controller - PZ STAGE
ASI MS-2000 Stage Controller - Serial out 
ASI MS-2000 Stage Controller - XY STAGE
Boos RC7 Power Manager - Switch 1 (black)
Boos RC7 Power Manager - Switch 2
Boos RC7 Power Manager - Switch 3
Boos RC7 Power Manager - Switch 4
Boos RC7 Power Manager - Switch 5
Boos RC7 Power Manager - Switch 6
Boos RC7 Power Manager - Switch 6.5
Computer - card bottom slot
Computer - COM1
Computer - graphics card 1
Computer - graphics card 2
Computer - Power
Computer - USB-A (top-right)
HAL100 Halogen - HAL100 Halogen - Shutter
HAL100 Halogen - Power
Hamamatsu Orca Flash 4.0 C11440 - Digital out 1 
Hamamatsu Orca Flash 4.0 C11440 - Digital out 2
Hamamatsu Orca Flash 4.0 C11440 - Power
Hamamatsu Orca Flash 4.0 C11440 - Timing 1
Hamamatsu Orca Flash 4.0 C11440 - Timing 2
Multi-outlet strip with female 3-blade connectors
Multi-outlet strip with female 3-blade connectors
Multi-outlet strip with female 3-blade connectors
Multi-outlet strip with female 3-blade connectors
National Instruments - PF10
Shore power
Shore power
Shore power
Shore power
"Stage - X/Y - X horizontal, Y vertical"
"Stage - Z Piezo - ""150µm"""
Sutter Filter Wheel LB10W-2809
Sutter Lambda Smart Shutter LB10-B/IQ - Power
Sutter Lambda Smart Shutter LB10-B/IQ - SERIAL
Sutter Lambda Smart Shutter LB10-B/IQ - Wheel - Uniblitz
Temperature stage box
UniBlitz VMM-D1 Shutter Driver - Power
UniBlitz VMM-D1 Shutter Driver - RS-232C
UniBlitz VMM-D1 Shutter Driver - SHUTTER
USB Serial Converter - P1
USB Serial Converter - P2
USB Serial Converter - P3
USB Serial Converter - P4
Yokagawa (Blue) Box 1 Filter Wheel Control - CSU
Yokagawa (Blue) Box 1 Filter Wheel Control - Power
Yokagawa (Blue) Box 1 Filter Wheel Control - RS232C1
Yokagawa CSU-X1 - Ext. control
Yokagawa CSU-X1 - Fiber
Yokagawa CSU-X1 - Power
Zeiss control pad
Zeiss Observer Z.1 - 3 round pins
Zeiss Observer Z.1 - Main - RS232 male
Zeiss Observer Z.1 - TFT
"Zeiss Observer Z.1 - Unlabelled, center"
Zeiss Power Supply 231 - 3-blade power in
Zeiss Power Supply 231 - Integrated power out
